'location' 'source' 'target'
'Talent,,A' 'Pilot' 'Pilot:in'
'Overcharge,,Spend' 'Heat' 'Hitze'
'' 'Active' 'Aktiv'
'' 'Agility' 'Agilität'
'' 'Armor' 'Panzerung'
'' 'Core Bonus' 'Kernbonus'
'' 'Custom' 'Eigene:s'
'' 'Engineering' 'Technik'
'' 'Evasion' 'Ausweichen'
'' 'Frame' 'Rahmen'
'' 'Grit' 'Schneid'
'' 'Hull' 'Hülle'
'' 'License' 'Lizenz'
'' 'Mech' 'Mech'
'' 'Mod' 'Mod'
'' 'Mount' 'Halterung'
'' 'Overcharge' 'Überladen'
'' 'Pending' 'Ausstehend'
'' 'Reserve' 'Reserve'
'' 'Save' 'Rettungswurf'
'' 'Sensors' 'Sensorreichweite'
'' 'Size' 'Größe'
'' 'Skill Trigger' 'Fertigkeitstrigger'
'' 'Speed' 'Geschwindigkeit'
'' 'Stress' 'Reaktor'
'' 'Structure' 'Struktur'
'' 'System' 'System'
'' 'Systems' 'Rechenleistung'
'' 'Talent' 'Talent'
'' 'Weapon' 'Waffe'
'' 'None' 'Keine'
