'location' 'source' 'target'
'Talent,,A' 'Pilot' 'Pilote'
'Overcharge,,Spend' 'Heat' 'Chaleur'
'' 'Weapon' 'Arme'
'' 'Structure' 'Structure'
'' 'Overcharge' 'Surcharger le réacteur'
'' 'Armor' 'Blindage'
'' 'Speed' 'Vitesse'
'' 'Size' 'Taille'
'' 'Sensors' 'Capteurs'
'' 'Save' 'Sauvegarde'
'' 'None' 'Vide'
'' 'Active' 'Actif'
'' 'Pending' 'En attente'
'' 'Custom' 'Personnalisé'
'' 'Evasion' 'Évasion'
'' 'Reserve' 'Réserve stratégique'
'' 'System' 'Système'
'' 'Mod' 'Modification'
'' 'Core Bonus' 'Bonus d''architecture'
'' 'Engineering' 'Mécanique'
'' 'Frame' 'Châssis'
'' 'Grit' 'Cran'
'' 'Hull' 'Armature'
'' 'License' 'Licence'
'' 'Mech' 'Mécha'
'' 'Mount1' 'Monter'
'' 'Mount' 'Affût'
'' 'Save1' 'Sauvegarder'
'' 'Stress' 'Intégrité'
'' 'Systems' 'Électronique'
'' 'Talent' 'Talent'
'' 'Agility' 'Agilité'
'' 'Skill Trigger' 'Spécialité'
