'location' 'source' 'target'
'Talent,,A' 'Pilot' 'Pilota'
'Overcharge,,Spend' 'Heat' 'Calore'
'' 'Mech' 'Mech'
'' 'Frame' 'Telaio'
'' 'License' 'Licenza'
'' 'Talent' 'Talento'
'' 'Skill Trigger' 'Impulso'
'' 'Core Bonus' 'Bonus Licenza'
'' 'Reserve' 'Risorsa'
'' 'System' 'Sistema'
'' 'Mod' 'Mod'
'' 'Weapon' 'Arma'
'' 'Mount' 'Supporto'
'' 'Structure' 'Struttura'
'' 'Stress' 'Stress'
'' 'Overcharge' 'Sovralimentare'
'' 'Hull' 'Scafo'
'' 'Agility' 'Agilità'
'' 'Systems' 'Sistemi'
'' 'Engineering' 'Ingegneria'
'' 'Armor' 'Armatura'
'' 'Evasion' 'Elusione'
'' 'Speed' 'Velocità'
'' 'Size' 'Taglia'
'' 'Sensors' 'Sensori'
'' 'Grit' 'Grinta'
'' 'Save' 'Tiro salvezza'
'' 'None' 'Nessuno'
'' 'Active' 'Attivo'
'' 'Pending' 'In sospeso'
'' 'Custom' 'Personalizzato'
'' 'Save1' 'Salva'
'' 'Mount1' 'Montare'
