'location' 'source' 'target'
'Talent,,A' 'Pilot' '파일럿'
'Overcharge,,Spend' 'Heat' '열'
'' 'Reserve' '비축'
'' 'Save' '저장'
'' 'Agility' '민첩'
'' 'Custom' '커스텀'
'' 'Engineering' '엔지니어링'
'' 'Evasion' '탈출'
'' 'Mod' '모드'
'' 'Talent' '재주'
'' 'Mount1' '탑승'
'' 'Skill Trigger' '스킬 트리거'
'' 'Speed' '속도'
'' 'Core Bonus' '코어 보너스'
'' 'Frame' '프레임'
'' 'Mech' '메크'
'' 'Stress' '스트레스'
'' 'Sensors' '센서'
'' 'Hull' '선체'
'' 'Armor' '장갑'
'' 'Pending' '대기 중'
'' 'Mount' '마운트'
'' 'Systems' '시스템'
'' 'Weapon' '무기'
'' 'License' '라이센스'
'' 'Overcharge' '오버 차지'
'' 'Size' '크기'
'' 'Structure' '구조'
'' 'Active' '활성'
'' 'System' '시스템'
'' 'None' '없음'
'' 'Save1' '저장'
